Start,End,Quality,TimeInBed,WakeUp,SleepNotes,HeartRate
10/20/15 21:38,10/21/15 6:20,88%,8:42,:|,Drank coffee:Drank tea,62
10/21/15 22:41,10/22/15 6:20,77%,7:39,:),Drank coffee:Drank tea,53
10/22/15 21:46,10/23/15 5:30,80%,7:44,:),Drank coffee:Drank tea:Worked out,70
10/24/15 0:32,10/24/15 8:12,77%,7:40,:),Drank coffee:Drank tea:Worked out,
10/24/15 22:38,10/25/15 6:33,81%,7:55,:),Drank coffee:Drank tea,
10/26/15 23:09,10/27/15 6:05,77%,6:55,:),Drank coffee:Drank tea,65
10/27/15 21:34,10/28/15 5:35,78%,8:01,:|,Drank coffee:Worked out,
10/28/15 22:28,10/29/15 6:20,83%,7:51,:|,Drank tea:Worked out,53
10/29/15 22:30,10/30/15 6:10,81%,7:40,:|,Drank tea:Worked out,57
10/31/15 1:01,10/31/15 7:50,50%,6:48,:),Drank coffee:Drank tea,
11/2/15 22:00,11/3/15 6:10,83%,8:09,:|,Drank coffee:Drank tea:Worked out,55
11/3/15 22:46,11/4/15 6:09,75%,7:23,:|,Drank coffee:Drank tea:Worked out,
11/4/15 22:49,11/5/15 6:00,65%,7:11,:|,Drank coffee:Drank tea:Worked out,
11/5/15 21:36,11/6/15 5:29,77%,7:52,:|,Drank coffee:Drank tea:Worked out,
11/7/15 0:19,11/7/15 8:13,93%,7:54,:),Drank coffee:Drank tea:Worked out,98
11/8/15 23:28,11/9/15 6:20,69%,6:52,:),Drank coffee:Drank tea,
11/9/15 21:59,11/10/15 5:41,88%,7:41,:),Drank coffee:Drank tea:Worked out,
11/10/15 22:56,11/11/15 6:28,83%,7:32,:),Drank coffee:Drank tea:Worked out,
11/11/15 22:57,11/12/15 6:20,72%,7:23,:),Drank coffee:Drank tea,
11/13/15 22:59,11/14/15 7:46,96%,8:46,:),Drank coffee:Drank tea,59
11/15/15 22:17,11/16/15 6:30,72%,8:13,:),Drank coffee:Drank tea,62
11/18/15 22:07,11/19/15 5:30,80%,7:23,:),Ate late:Drank coffee:Drank tea:Worked out,63
11/19/15 23:10,11/20/15 6:00,73%,6:50,:),Drank coffee:Drank tea:Worked out,62
11/22/15 21:57,11/23/15 5:30,83%,7:33,:),Drank tea,
11/23/15 22:15,11/24/15 5:00,74%,6:44,:),Drank coffee:Drank tea:Worked out,
11/24/15 22:33,11/25/15 6:30,87%,7:57,:),Drank coffee:Drank tea:Worked out,
11/25/15 23:26,11/26/15 6:20,69%,6:54,:),Drank coffee:Drank tea:Worked out,
11/26/15 22:25,11/27/15 6:20,81%,7:55,:),Drank coffee:Drank tea:Worked out,
