Start,End,Quality,TimeInBed,WakeUp,SleepNotes,HeartRate
5/8/17 22:28,5/9/17 6:11,66%,7:43,,Drank coffee:Drank tea:Worked out,
5/9/17 23:33,5/10/17 6:03,64%,6:29,,Drank coffee:Drank tea:Worked out,
5/10/17 6:04,5/10/17 7:45,18%,1:40,,,
5/10/17 22:43,5/11/17 6:16,82%,7:32,,Drank coffee:Drank tea,
5/11/17 21:52,5/12/17 6:40,95%,8:47,,Drank coffee:Drank tea:Worked out,
5/13/17 0:42,5/13/17 7:41,73%,6:59,,Drank coffee:Drank tea:Worked out,
5/14/17 0:04,5/14/17 8:11,73%,8:06,,Drank tea,
5/14/17 21:57,5/15/17 6:20,77%,8:22,,Drank coffee:Drank tea,
5/15/17 22:55,5/16/17 6:30,75%,7:34,,Drank coffee:Drank tea:Worked out,
5/16/17 22:41,5/17/17 6:17,73%,7:36,,Drank tea,
5/17/17 22:44,5/18/17 6:40,90%,7:56,,Drank coffee:Drank tea:Worked out,
5/18/17 23:17,5/19/17 6:27,88%,7:10,,Drank coffee:Drank tea:Stressful day:Worked out,
5/20/17 1:04,5/20/17 8:56,73%,7:52,,Drank coffee:Drank tea:Worked out,
5/22/17 22:29,5/23/17 7:35,90%,9:06,,Drank tea:Worked out,
5/24/17 0:14,5/24/17 7:46,70%,7:32,,Drank coffee:Worked out,
5/24/17 22:09,5/25/17 6:37,82%,8:28,,Drank tea:Worked out,
5/25/17 22:19,5/26/17 6:24,73%,8:04,,Drank tea:Worked out,
5/28/17 0:18,5/28/17 8:01,81%,7:43,,Drank coffee:Worked out,
5/28/17 22:37,5/29/17 6:18,75%,7:41,,Drank coffee,
5/29/17 22:28,5/30/17 6:11,88%,7:42,,Drank coffee:Stressful day:Worked out,
5/30/17 21:59,5/31/17 6:20,75%,8:21,,Ate late:Drank coffee:Worked out,
5/31/17 22:26,6/1/17 5:45,86%,7:19,,Drank coffee:Drank tea:Worked out,
6/1/17 22:59,6/2/17 6:40,80%,7:41,,Drank coffee:Drank tea:Worked out,
6/2/17 22:05,6/3/17 6:11,69%,8:05,,Drank coffee:Drank tea,
6/3/17 21:56,6/4/17 7:13,72%,9:16,,Drank coffee:Worked out,
6/4/17 23:14,6/5/17 6:21,67%,7:06,,Drank coffee,
6/5/17 22:30,6/6/17 6:17,74%,7:47,,Drank coffee:Worked out,
6/6/17 21:38,6/7/17 5:53,76%,8:14,,Drank coffee:Drank tea:Stressful day:Worked out,
6/7/17 22:54,6/8/17 6:34,41%,7:40,,Drank coffee:Drank tea:Worked out,
6/8/17 21:47,6/9/17 6:17,70%,8:30,,Drank tea,
6/10/17 0:07,6/10/17 7:55,67%,7:47,,,
6/11/17 22:18,6/12/17 6:10,78%,7:52,,,
6/12/17 21:44,6/13/17 6:17,93%,8:32,,,
6/13/17 22:18,6/14/17 6:12,74%,7:54,,,
6/14/17 22:34,6/15/17 6:13,68%,7:38,,,
6/15/17 22:19,6/16/17 6:07,76%,7:48,,,
6/18/17 5:01,6/18/17 7:34,31%,2:33,,,
6/18/17 7:35,6/18/17 8:09,7%,0:34,,,
6/18/17 22:22,6/19/17 6:02,66%,7:39,,,
6/19/17 22:57,6/20/17 6:24,70%,7:26,,,
6/20/17 22:31,6/21/17 6:15,77%,7:43,,,
6/21/17 6:16,6/21/17 7:03,10%,0:47,,,
6/21/17 22:32,6/22/17 6:10,72%,7:37,,,
6/22/17 23:37,6/23/17 6:38,59%,7:00,,,
6/23/17 23:26,6/24/17 7:11,74%,7:44,,,
6/25/17 22:08,6/26/17 6:18,83%,8:10,,,
6/26/17 21:24,6/27/17 6:15,90%,8:51,,,
6/27/17 21:52,6/28/17 6:33,86%,8:41,,,
6/28/17 21:53,6/29/17 6:21,69%,8:28,,,
6/29/17 22:32,6/30/17 6:33,77%,8:00,,,
7/3/17 0:31,7/3/17 7:44,81%,7:12,,,
7/3/17 22:37,7/4/17 6:18,73%,7:41,,,
7/4/17 22:07,7/5/17 5:55,74%,7:48,,,
7/5/17 21:48,7/6/17 5:43,66%,7:55,,,
7/6/17 22:33,7/7/17 6:31,73%,7:57,,,
7/9/17 22:36,7/10/17 5:59,70%,7:22,,,
7/10/17 22:25,7/11/17 6:01,74%,7:35,,,
7/11/17 21:39,7/12/17 6:06,65%,8:26,,,
7/12/17 23:12,7/13/17 6:25,67%,7:13,,,
7/13/17 22:30,7/14/17 6:45,81%,8:14,,,
7/15/17 1:10,7/15/17 7:54,78%,6:43,,,
7/16/17 2:12,7/16/17 7:53,69%,5:40,,,
7/16/17 22:08,7/17/17 6:25,70%,8:17,,,
7/17/17 22:51,7/18/17 6:17,71%,7:26,,,
7/18/17 22:00,7/19/17 6:39,84%,8:39,,,
7/19/17 21:45,7/20/17 5:55,87%,8:09,,,
7/22/17 1:06,7/22/17 7:54,68%,6:48,,,
7/22/17 23:13,7/23/17 7:10,78%,7:57,,,
7/23/17 21:57,7/24/17 5:49,84%,7:51,,,
7/25/17 5:34,7/25/17 5:55,5%,0:21,,,
7/25/17 22:04,7/26/17 5:48,87%,7:43,,,
7/26/17 22:29,7/27/17 6:05,74%,7:35,,,
7/27/17 21:53,7/28/17 5:50,51%,7:57,,,
7/28/17 23:29,7/29/17 6:22,38%,6:53,,,
7/29/17 22:00,7/30/17 6:50,72%,8:49,,,
7/30/17 23:20,7/31/17 6:33,89%,7:12,,,
7/31/17 22:39,8/1/17 6:19,82%,7:39,,,
8/1/17 23:15,8/2/17 6:10,77%,6:54,,,
8/2/17 22:32,8/3/17 6:06,81%,7:33,,,
8/3/17 23:14,8/4/17 6:32,80%,7:18,,,
8/4/17 22:59,8/5/17 7:31,76%,8:31,,,
8/5/17 23:37,8/6/17 7:38,81%,8:00,,,
8/6/17 23:03,8/7/17 8:12,99%,9:08,,,
8/7/17 23:14,8/8/17 7:41,73%,8:26,,,
8/8/17 22:34,8/9/17 6:05,81%,7:31,,,
8/9/17 23:22,8/10/17 5:53,59%,6:30,,,
8/12/17 22:58,8/13/17 6:40,79%,7:42,,,
8/13/17 22:46,8/14/17 5:51,58%,7:04,,,
8/14/17 22:32,8/15/17 5:51,67%,7:18,,,
8/15/17 21:56,8/16/17 6:30,83%,8:34,,,
8/16/17 22:01,8/17/17 5:29,81%,7:27,,,
8/17/17 20:36,8/18/17 4:53,35%,8:16,,,
8/25/17 23:37,8/26/17 6:38,30%,7:00,,,
8/27/17 22:15,8/28/17 7:00,94%,8:44,,,
8/28/17 22:03,8/29/17 7:20,82%,9:17,,,
8/30/17 23:01,8/31/17 6:38,74%,7:37,,,
8/31/17 23:01,9/1/17 7:16,81%,8:15,,,
9/1/17 22:33,9/2/17 7:38,89%,9:04,,,
9/3/17 0:46,9/3/17 8:08,81%,7:21,,,
9/3/17 23:07,9/4/17 7:22,84%,8:14,,,
9/4/17 22:49,9/5/17 6:07,59%,7:17,,,
9/5/17 22:38,9/6/17 6:08,81%,7:30,,,
9/6/17 22:02,9/7/17 6:02,79%,7:59,,,
9/7/17 22:26,9/8/17 6:05,77%,7:39,,,
9/9/17 21:24,9/10/17 6:13,74%,8:48,,,
9/11/17 22:39,9/12/17 6:06,56%,7:27,,,
9/12/17 22:03,9/13/17 6:08,86%,8:04,,,
9/13/17 23:43,9/14/17 6:32,55%,6:48,,,
9/14/17 22:06,9/15/17 6:05,79%,7:59,,,
9/16/17 0:18,9/16/17 8:51,91%,8:33,,,
9/17/17 22:50,9/18/17 6:32,71%,7:41,,,
9/18/17 22:19,9/19/17 6:04,69%,7:44,,,
9/19/17 22:16,9/20/17 6:04,76%,7:47,,,
9/20/17 22:04,9/21/17 6:06,65%,8:02,,,
9/21/17 22:23,9/22/17 6:07,72%,7:44,,,
9/24/17 21:44,9/25/17 5:57,80%,8:13,,,
9/25/17 22:17,9/26/17 6:19,73%,8:01,,,
9/26/17 23:01,9/27/17 5:49,66%,6:47,,,
9/27/17 22:06,9/28/17 6:08,83%,8:02,,,
9/28/17 23:36,9/29/17 6:41,75%,7:04,,,
9/29/17 23:14,9/30/17 8:00,80%,8:46,,,
10/1/17 0:03,10/1/17 7:36,79%,7:33,,,
10/1/17 21:44,10/2/17 6:05,69%,8:21,,,
10/2/17 22:55,10/3/17 6:00,76%,7:05,,,
10/3/17 21:41,10/4/17 6:25,96%,8:44,,,
10/4/17 22:44,10/5/17 6:05,75%,7:20,,,
10/5/17 21:24,10/6/17 4:37,76%,7:13,,,
10/6/17 22:56,10/7/17 7:44,55%,8:47,,,
10/7/17 21:57,10/8/17 8:05,71%,10:07,,,
10/9/17 22:27,10/10/17 6:10,79%,7:42,,,
10/10/17 22:23,10/11/17 6:00,80%,7:36,,,
10/11/17 22:32,10/12/17 6:10,71%,7:38,,,
10/12/17 22:22,10/13/17 6:37,79%,8:14,,,
10/13/17 23:03,10/14/17 8:15,88%,9:11,,,
10/14/17 22:58,10/15/17 7:24,80%,8:25,,,
10/15/17 22:47,10/16/17 5:56,69%,7:09,,,
10/16/17 21:51,10/17/17 6:01,74%,8:09,,,
10/17/17 21:41,10/18/17 6:02,78%,8:21,,,
10/19/17 0:01,10/19/17 6:02,60%,6:00,,,
10/19/17 21:13,10/20/17 6:14,100%,9:00,,,
10/21/17 0:05,10/21/17 7:57,89%,7:51,,,
10/22/17 0:25,10/22/17 7:45,79%,7:20,,,
10/22/17 21:50,10/23/17 6:00,82%,8:10,,,
10/23/17 22:18,10/24/17 6:01,65%,7:42,,,
10/24/17 22:15,10/25/17 6:06,83%,7:51,,,
10/25/17 21:55,10/26/17 6:00,65%,8:05,,,
10/27/17 1:50,10/27/17 6:51,59%,5:01,,,
10/28/17 22:51,10/29/17 7:51,91%,9:00,,,
10/29/17 22:26,10/30/17 6:00,78%,7:34,,,
10/30/17 22:52,10/31/17 5:43,62%,6:51,,,
10/31/17 23:29,11/1/17 5:02,49%,5:33,,,
11/2/17 21:25,11/3/17 6:21,74%,8:56,,,
11/3/17 23:23,11/4/17 7:26,89%,8:02,,,
11/5/17 22:30,11/6/17 6:05,70%,7:35,,,
11/6/17 22:08,11/7/17 5:58,75%,7:49,,,
11/7/17 21:01,11/8/17 5:45,90%,8:43,,,
11/8/17 23:11,11/9/17 6:30,76%,7:18,,,
11/9/17 22:04,11/10/17 7:15,96%,9:11,,,
11/10/17 23:29,11/11/17 7:21,83%,7:51,,,
11/11/17 23:06,11/12/17 7:18,84%,8:11,,,
11/12/17 23:39,11/13/17 8:30,79%,8:50,,,
11/14/17 21:16,11/15/17 6:50,93%,9:34,,,
11/15/17 21:23,11/16/17 6:51,85%,9:27,,,
11/16/17 22:33,11/17/17 6:07,80%,7:34,,,
11/17/17 23:08,11/18/17 7:20,91%,8:11,,,
11/19/17 21:58,11/20/17 6:02,82%,8:04,,,
11/20/17 22:26,11/21/17 6:00,86%,7:33,,,
11/21/17 22:26,11/22/17 5:57,68%,7:31,,,
11/22/17 22:34,11/23/17 6:01,80%,7:26,,,
11/23/17 22:56,11/24/17 6:30,80%,7:33,,,
11/25/17 23:14,11/26/17 8:19,100%,9:05,,,
11/26/17 22:10,11/27/17 6:05,63%,7:55,,,
11/27/17 22:36,11/28/17 5:58,73%,7:22,,,
11/28/17 22:54,11/29/17 6:09,80%,7:14,,,
11/29/17 22:33,11/30/17 6:26,83%,7:52,,,
11/30/17 20:54,12/1/17 5:55,77%,9:01,,,
12/3/17 23:10,12/4/17 6:15,63%,7:05,,,
12/4/17 21:20,12/5/17 5:50,70%,8:29,,,
12/5/17 22:56,12/6/17 6:15,68%,7:19,,,
12/6/17 21:56,12/7/17 5:50,63%,7:53,,,
12/7/17 22:04,12/8/17 6:31,82%,8:27,,,
12/9/17 23:39,12/10/17 8:15,95%,8:35,,,
12/10/17 22:16,12/11/17 6:06,70%,7:49,,,
12/11/17 21:47,12/12/17 5:57,68%,8:09,,,
12/12/17 22:09,12/13/17 5:55,72%,7:45,,,
12/14/17 22:47,12/15/17 5:51,60%,7:04,,,
12/17/17 21:35,12/18/17 6:08,80%,8:33,,,
12/18/17 21:39,12/19/17 6:05,79%,8:26,,,
12/19/17 22:05,12/20/17 6:25,79%,8:20,,,
12/20/17 21:30,12/21/17 5:52,59%,8:22,,,
12/21/17 22:10,12/22/17 6:55,75%,8:44,,,
12/26/17 21:19,12/27/17 7:55,97%,10:35,,,
12/29/17 0:06,12/29/17 7:57,75%,7:50,,,
12/29/17 22:00,12/30/17 8:08,75%,10:08,,,
1/1/18 21:30,1/2/18 5:56,81%,8:25,,,
1/2/18 22:31,1/3/18 5:48,76%,7:17,,,
1/3/18 20:28,1/4/18 3:40,0%,0:00,,,
1/4/18 22:19,1/5/18 7:25,91%,9:05,,,
1/6/18 23:13,1/7/18 8:00,86%,8:46,,,
1/7/18 22:09,1/8/18 6:10,83%,8:01,,,
1/8/18 22:53,1/9/18 5:45,77%,6:51,,,
1/9/18 22:22,1/10/18 6:23,90%,8:01,,,
1/10/18 21:31,1/11/18 5:10,71%,7:38,,,
1/11/18 21:54,1/12/18 5:01,70%,7:06,,,
1/12/18 21:50,1/13/18 7:38,70%,9:48,,,
1/13/18 22:07,1/14/18 7:09,64%,9:02,,,
1/14/18 22:02,1/15/18 5:50,73%,7:48,,,
1/15/18 22:45,1/16/18 6:00,79%,7:15,,,
1/16/18 22:09,1/17/18 6:01,71%,7:51,,,
1/17/18 22:45,1/18/18 6:12,84%,7:27,,,
1/18/18 22:46,1/19/18 6:48,59%,8:02,,,
1/19/18 22:21,1/20/18 8:22,71%,10:01,,,
1/20/18 23:44,1/21/18 7:01,67%,7:17,,,
1/21/18 22:04,1/22/18 6:01,84%,7:56,,,
1/22/18 23:15,1/23/18 6:00,66%,6:44,,,
1/23/18 21:41,1/24/18 6:00,73%,8:18,,,
1/24/18 20:58,1/25/18 6:02,84%,9:03,,,
1/25/18 23:17,1/26/18 6:00,72%,6:43,,,
1/26/18 22:13,1/27/18 7:20,92%,9:07,,,
1/28/18 1:21,1/28/18 8:49,81%,7:27,,,
1/28/18 21:30,1/29/18 5:00,69%,7:29,,,
1/29/18 21:37,1/30/18 6:01,79%,8:23,,,
1/30/18 22:18,1/31/18 6:03,77%,7:44,,,
1/31/18 22:29,2/1/18 6:02,72%,7:32,,,
2/1/18 21:25,2/2/18 6:45,80%,9:20,,,
2/3/18 2:20,2/3/18 7:44,65%,5:23,,,
2/3/18 8:32,2/3/18 9:08,8%,0:36,,,
2/3/18 22:29,2/4/18 7:37,96%,9:08,,,
2/4/18 23:09,2/5/18 6:01,72%,6:52,,,
2/5/18 22:02,2/6/18 6:00,78%,7:58,,,
2/6/18 21:44,2/7/18 6:12,82%,8:28,,,
2/7/18 23:18,2/8/18 6:48,73%,7:29,,,
2/8/18 22:41,2/9/18 6:00,93%,7:18,,,
2/9/18 23:07,2/10/18 7:26,76%,8:18,,,
2/11/18 22:44,2/12/18 7:08,91%,8:24,,,
2/12/18 21:54,2/13/18 7:02,91%,9:08,,,
2/13/18 23:49,2/14/18 7:00,81%,7:11,,,
2/14/18 21:24,2/15/18 6:20,71%,8:56,,,
2/15/18 21:36,2/16/18 6:50,80%,9:13,,,
2/16/18 22:52,2/17/18 7:48,91%,8:55,,,
